Age,TMA_1,TMA_2,TMA_3,TMA_4,TMA_5,TMA_6,TMA_7,NIR_1,NIR_2,NIR_3,NIR_4,NIR_5,NIR_6
0,0.080245105,0.299155079,0.042673091,0.363684621,0.1638882,0.109686321,0.01,0.289950987,0.228081841,0.240706745,0.23512819,0.231660911,0.234071073
1,0.080245105,0.299155079,0.042673091,0.363684621,0.1638882,0.109686321,0.01,0.289950987,0.228081841,0.240706745,0.23512819,0.231660911,0.234071073
2,0.16680402,0.386086552,0.164576288,0.421040018,0.233528509,0.183709061,0.135451457,0.40762794,0.354843373,0.370119129,0.362465636,0.359254194,0.349117588
3,0.253362936,0.473018025,0.286479485,0.478395415,0.303168818,0.2577318,0.260902914,0.525304893,0.481604905,0.499531514,0.489803083,0.486847477,0.464164103
4,0.339921851,0.559949498,0.408382682,0.535750812,0.372809127,0.33175454,0.386354371,0.642981846,0.608366436,0.628943898,0.617140529,0.61444076,0.579210617
5,0.426480766,0.646880971,0.53028588,0.593106209,0.442449436,0.40577728,0.511805828,0.760658799,0.735127968,0.758356283,0.744477976,0.742034043,0.694257132
6,0.513039681,0.733812444,0.652189077,0.650461606,0.512089745,0.47980002,0.637257285,0.878335752,0.8618895,0.887768667,0.871815422,0.869627326,0.809303647
7,0.599598596,0.820743917,0.774092274,0.707817004,0.581730054,0.553822759,0.762708742,0.996012705,0.988651032,1.017181051,0.999152869,0.997220609,0.924350162
8,0.686157511,0.90767539,0.895995471,0.765172401,0.651370363,0.627845499,0.888160199,1.113689658,1.115412563,1.146593436,1.126490316,1.124813892,1.039396676
9,0.772716426,0.994606863,1.017898669,0.822527798,0.721010672,0.701868239,1.013611656,1.231366611,1.242174095,1.27600582,1.253827762,1.252407176,1.154443191
10,0.859275341,1.081538336,1.139801866,0.879883195,0.790650981,0.775890979,1.139063112,1.349043564,1.368935627,1.405418205,1.381165209,1.380000459,1.269489706
11,0.945834256,1.168469808,1.261705063,0.937238592,0.86029129,0.849913719,1.264514569,1.466720517,1.495697159,1.534830589,1.508502655,1.507593742,1.38453622
12,1.032393172,1.255401281,1.38360826,0.994593989,0.929931599,0.923936458,1.389966026,1.58439747,1.622458691,1.664242974,1.635840102,1.635187025,1.499582735
13,1.118952087,1.342332754,1.505511458,1.051949386,0.999571908,0.997959198,1.515417483,1.702074423,1.749220222,1.793655358,1.763177548,1.762780308,1.61462925
14,1.205511002,1.429264227,1.627414655,1.109304784,1.069212217,1.071981938,1.64086894,1.819751376,1.875981754,1.923067743,1.890514995,1.890373591,1.729675765
15,1.292069917,1.5161957,1.749317852,1.166660181,1.138852526,1.146004678,1.766320397,1.937428329,2.002743286,2.052480127,2.017852441,2.017966874,1.844722279
16,1.378628832,1.603127173,1.871221049,1.224015578,1.208492835,1.220027417,1.891771854,2.055105281,2.129504818,2.181892512,2.145189888,2.145560157,1.959768794
17,1.465187747,1.690058646,1.993124247,1.281370975,1.278133144,1.294050157,2.017223311,2.172782234,2.256266349,2.311304896,2.272527334,2.27315344,2.074815309
18,1.551746662,1.776990119,2.115027444,1.338726372,1.347773453,1.368072897,2.142674768,2.290459187,2.383027881,2.440717281,2.399864781,2.400746723,2.189861824
